,file,mass
0,g2_model9.fits,296043072.820131
0,g1_model615.fits,
0,g2_model264.fits,389906923.7071228
0,g1_model788.fits,2149006749.3144646
0,g2_model409.fits,620460868.1673373
0,g1_model107.fits,283671885.5862376
0,g1_model169.fits,284291377.2734257
0,g1_model342.fits,402069323.94309765
0,g1_model253.fits,365900384.84238505
0,g1_model417.fits,488266217.56386703
0,g2_model811.fits,
0,g1_model275.fits,
0,g2_model707.fits,2275514526.532817
0,g2_model476.fits,738786975.5519423
0,g2_model740.fits,1547276267.8956342
0,g1_model642.fits,1446807281.4741616
0,g2_model555.fits,658439868.8823885
0,g2_model330.fits,533542081.8925615
0,g2_model90.fits,314143117.0048468
0,g2_model288.fits,382565421.38233095
0,g1_model453.fits,529301046.0996452
0,g2_model64.fits,226491446.08054227
0,g1_model587.fits,1399096343.6845708
0,g2_model209.fits,291734989.0190022
0,g1_model49.fits,223638648.70341933
0,g1_model490.fits,624799544.1517073
0,g1_model939.fits,4687929658.543385
0,g1_model676.fits,1337552660.5229688
0,g1_model859.fits,
0,g1_model802.fits,
0,g1_model555.fits,1230012219.9248135
0,g1_model55.fits,268330540.2318143
0,g2_model1007.fits,19341449729.315083
0,g2_model956.fits,
0,g2_model803.fits,1689181584.8200846
0,g2_model711.fits,1483075747.5820787
0,g1_model848.fits,
0,g1_model958.fits,5897084742.696303
0,g2_model426.fits,497294802.217393
0,g1_model823.fits,
0,g1_model917.fits,6302834728.362761
0,g2_model469.fits,655014364.2391695
0,g2_model259.fits,287456304.61857736
0,g2_model279.fits,313465556.1925981
0,g1_model112.fits,532168077.3527931
0,g2_model204.fits,289938472.1352313
0,g2_model777.fits,
0,g1_model93.fits,462289801.55890375
0,g1_model187.fits,274386212.3787287
0,g1_model399.fits,575895327.0642682
0,g1_model531.fits,911439449.5985966
0,g2_model93.fits,273901896.94075596
0,g1_model968.fits,6978147578.079286
0,g2_model116.fits,
0,g1_model276.fits,398811445.68614906
0,g2_model505.fits,882869112.9764911
0,g2_model206.fits,281958659.5777664
0,g2_model412.fits,618058047.0112214
0,g1_model772.fits,1450166633.5850894
0,g1_model908.fits,3845565004.6015143
0,g2_model590.fits,997114351.6099117
0,g2_model988.fits,
0,g2_model17.fits,190449018.0181571
0,g2_model491.fits,
0,g1_model121.fits,286431446.3692592
0,g2_model420.fits,625398767.4282801
0,g2_model13.fits,251416224.31593716
0,g1_model994.fits,
0,g1_model749.fits,1281125092.4868336
0,g2_model345.fits,486981680.32354283
0,g2_model599.fits,983862627.9912342
0,g2_model643.fits,929971009.0782516
0,g1_model257.fits,416331393.8257163
0,g1_model150.fits,268932359.7009551
0,g2_model184.fits,
0,g2_model793.fits,
0,g2_model189.fits,
0,g2_model25.fits,185645238.01827192
0,g2_model251.fits,597171443.3848808
0,g1_model248.fits,360043867.4374617
0,g2_model794.fits,2473405464.352868
0,g2_model240.fits,277755996.87327504
0,g1_model512.fits,856609734.4204069
0,g1_model12.fits,204275010.2050242
0,g2_model796.fits,
0,g1_model808.fits,1714892724.8925257
0,g1_model86.fits,242190221.04257092
0,g2_model627.fits,873471687.5210425
0,g1_model880.fits,3050879888.6444674
0,g2_model193.fits,258565056.45789862
0,g2_model833.fits,2301490859.4016404
0,g2_model734.fits,1504142530.6683705
0,g1_model267.fits,401437269.5867406
0,g1_model546.fits,731094200.4280467
0,g1_model726.fits,1357557082.613861
0,g1_model1002.fits,
0,g2_model757.fits,
0,g1_model362.fits,519546165.8732538
0,g2_model846.fits,2180567416.326336
0,g1_model221.fits,591865754.3628002
0,g1_model741.fits,1477124057.6994154
0,g1_model151.fits,375589276.2732241
0,g2_model388.fits,501070843.070699
0,g2_model576.fits,970978831.7220638
0,g2_model500.fits,639019261.8190114
0,g2_model679.fits,1292023057.6016595
0,g1_model603.fits,
0,g2_model513.fits,
